City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
223,Whitehorse,CA,60.7161,-135.0538,50.77,89,100,8.05,overcast clouds
224,Aklavik,CA,68.2191,-135.0107,55.02,52,100,10.29,overcast clouds
225,Qaqortoq,GL,60.7167,-46.0333,40.1,58,2,4.99,clear sky
226,Najran,SA,17.4924,44.1277,75.85,31,53,4.88,broken clouds
227,Bredasdorp,ZA,-34.5322,20.0403,51.82,85,44,7.14,scattered clouds
228,Dehloran,IR,32.6941,47.2679,95.09,16,0,6.4,clear sky
229,Eyrarbakki,IS,63.863,-21.1481,49.21,92,100,12.84,overcast clouds
230,Toledo,ES,39.8333,-4,75.54,31,7,2.59,clear sky
231,Lavrentiya,RU,65.5833,-171,39.47,65,87,4.23,overcast clouds
232,Pevek,RU,69.7008,170.3133,39.72,67,27,7.16,scattered clouds
233,Ilulissat,GL,69.2167,-51.1,33.82,75,100,14.97,light rain
234,Nelson Bay,AU,-32.7167,152.15,66,61,5,1.99,clear sky
235,Lipari,IT,38.4674,14.954,68.32,64,0,2.66,clear sky
236,Calabozo,VE,8.9242,-67.4293,72.39,96,100,4.61,overcast clouds
237,Te Anau,NZ,-45.4167,167.7167,40.77,81,65,12.21,broken clouds
238,Cidreira,BR,-30.1811,-50.2056,55.4,92,52,4.47,broken clouds
239,Morbegno,IT,46.1383,9.57,69.51,62,0,5.28,clear sky
240,Severnyy,RU,50.677,36.5532,62.64,94,0,2.24,clear sky
241,Ahlat,TR,38.7518,42.4814,61.5,62,36,3.53,scattered clouds
242,Chapais,CA,49.7834,-74.8492,58.78,96,34,2.8,scattered clouds
243,Kyren,RU,51.6828,102.1408,67.69,69,100,0.94,overcast clouds
244,Panjab,AF,34.388,67.0233,62.26,40,0,2.21,clear sky
245,Tuatapere,NZ,-46.1333,167.6833,42.75,76,91,21.79,light rain
246,Necochea,AR,-38.5473,-58.7368,51.73,59,99,12.97,overcast clouds
247,Taoudenni,ML,22.6783,-3.9836,91.78,11,0,6.06,clear sky
248,Campo Do Brito,BR,-10.7333,-37.4933,68.49,98,27,3.94,scattered clouds
249,Eureka,US,40.8021,-124.1637,57.81,75,1,8.01,clear sky
250,Husavik,IS,66.0449,-17.3389,50.56,85,91,8.55,overcast clouds
251,Makakilo City,US,21.3469,-158.0858,82.72,59,40,23.02,scattered clouds
252,Vyshestebliyevskaya,RU,45.1961,37.0181,71.44,60,81,12.21,broken clouds
253,Jepelacio,PE,-6.1167,-76.95,57.09,93,30,0.96,scattered clouds
254,Pedasi,PA,7.5333,-80.0333,76.06,88,100,4.94,overcast clouds
255,Klaksvik,FO,62.2266,-6.589,50.92,98,99,18.25,light rain
256,Mackay,AU,-21.15,149.2,75.69,73,3,11.41,clear sky
257,Mehamn,NO,71.0357,27.8492,42.75,81,75,9.22,broken clouds
258,Amod,IN,21.9833,72.9,88.63,61,99,13.02,overcast clouds
259,Vao,NC,-22.6667,167.4833,71.26,77,100,16.62,overcast clouds
260,Stornoway,GB,58.2093,-6.3865,52.93,93,75,16.11,broken clouds
261,Constitucion,CL,-35.3333,-72.4167,50.95,82,100,8.21,overcast clouds
262,Marsa Matruh,EG,31.3525,27.2453,70,83,20,10.36,few clouds
263,Atar,MR,20.5169,-13.0499,88.74,35,66,6.8,broken clouds
264,Bengkulu,ID,-3.8004,102.2655,83.25,65,48,3.87,scattered clouds
265,Goderich,CA,43.7501,-81.7165,65.91,77,92,6.91,overcast clouds
266,Sing Buri,TH,14.85,100.2333,96.12,52,100,9.35,light rain
267,Presidente Epitacio,BR,-21.7633,-52.1156,52.12,58,0,5.39,clear sky
268,Camacha,PT,33.0833,-16.3333,62.02,77,40,0,scattered clouds
269,Umm Lajj,SA,25.0213,37.2685,83.26,54,1,9.08,clear sky
270,Maarianhamina,AX,60.0973,19.9348,46.26,100,0,1.14,clear sky
271,Xichang,CN,27.8964,102.2634,67.57,73,100,3.49,overcast clouds
272,Dunedin,NZ,-45.8742,170.5036,43.81,70,49,11.99,scattered clouds
273,Ossora,RU,59.2353,163.0719,53.65,57,44,1.07,scattered clouds
274,Homer,US,59.6425,-151.5483,56.8,61,100,9.22,overcast clouds
275,Kalmunai,LK,7.4167,81.8167,85.78,64,99,2.26,overcast clouds
276,Sitka,US,57.0531,-135.33,53.49,71,100,8.05,overcast clouds
277,Mahibadhoo,MV,3.7833,72.9667,83.41,72,100,6.87,overcast clouds
278,Svay Rieng,KH,11.0879,105.7993,91.33,53,25,7.34,scattered clouds
279,Codrington,AU,-38.2667,141.9667,57.33,60,85,17.34,overcast clouds
280,Zambezi,ZM,-13.5432,23.1047,49.77,76,0,5.77,clear sky
281,Nizwa,OM,22.9333,57.5333,87.71,47,0,0.83,clear sky
282,Beloha,MG,-25.1667,45.05,58.6,76,0,7.05,clear sky
283,Sao Filipe,CV,14.8961,-24.4956,73.35,75,60,9.93,broken clouds
284,Merritt Island,US,28.5392,-80.672,83.08,81,0,10.36,clear sky
285,Doha,QA,25.2867,51.5333,87.78,74,0,3.44,clear sky
286,Fare,PF,-16.7,-151.0167,79.66,69,17,20.65,few clouds
287,Marovoay,MG,-16.1,46.6333,67.41,76,3,5.03,clear sky
288,Mayo,US,38.8876,-76.5119,79.27,87,0,6.91,clear sky
289,Karpathos,GR,35.507,27.2132,71.56,88,21,18.41,few clouds
290,Balkhash,KZ,46.844,74.9804,77.61,44,0,8.95,clear sky
291,Morondava,MG,-20.2833,44.2833,66.97,71,1,8.23,clear sky
292,Langres,FR,47.8333,5.3333,43.2,89,0,5.93,clear sky
293,San Miguel El Alto,MX,21.0167,-102.35,68.94,54,95,8.61,overcast clouds
294,Port-Gentil,GA,-0.7193,8.7815,76.35,83,88,12.41,overcast clouds
295,Luderitz,NA,-26.6481,15.1594,56.84,92,20,8.1,light rain
296,Asau,RO,46.4333,26.4,59.92,91,72,1.48,broken clouds
297,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,82,75,12.66,broken clouds
298,Tabou,CI,4.423,-7.3528,75.67,79,0,5.17,clear sky
299,Goure,NE,13.9835,10.2704,81.01,59,64,10.94,broken clouds
300,Nuuk,GL,64.1835,-51.7216,38.01,81,100,9.22,overcast clouds
301,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,51.46,46,15,0.11,few clouds
302,Kruisfontein,ZA,-34.0033,24.7314,60.33,52,54,18.72,broken clouds
303,Pisco,PE,-13.7,-76.2167,62.65,67,100,8.05,overcast clouds
304,Werda,BW,-25.2667,23.2833,54.73,48,80,8.95,broken clouds
305,Dagda,LV,56.0951,27.5372,51.73,99,100,9.13,overcast clouds
306,Deputatskiy,RU,69.3,139.9,63.75,35,100,7.34,overcast clouds
307,Khatanga,RU,71.9667,102.5,59.7,42,36,13.33,scattered clouds
308,Siocon,PH,7.7061,122.1353,84.83,69,100,0.83,overcast clouds
309,Kavieng,PG,-2.5744,150.7967,83.28,72,73,12.5,light rain
310,Yaring,TH,6.8662,101.3689,84.29,72,12,0.81,few clouds
311,Cam Ranh,VN,11.9214,109.1591,93.16,49,20,4.61,few clouds
312,Fortuna,US,40.5982,-124.1573,57.54,74,0,12.66,clear sky
313,Amapa,BR,1,-52,70.12,97,100,1.97,overcast clouds
314,Cedar City,US,37.6775,-113.0619,72.57,8,20,14.97,few clouds
315,Rocha,UY,-34.4833,-54.3333,47.55,96,39,6.64,scattered clouds
316,Basqal,AZ,40.7552,48.391,64.92,65,9,3.42,clear sky
317,Andijon,UZ,40.7821,72.3442,79.88,41,30,2.3,scattered clouds
318,Mandalgovi,MN,45.7625,106.2708,76.35,20,71,11.79,broken clouds
319,Businga,CD,3.3333,20.8833,69.4,97,100,0.47,overcast clouds
320,Sandur,IN,15.1,76.55,82.42,56,48,13.31,scattered clouds
321,Smidovich,RU,48.6,133.8167,74.79,57,31,10.98,scattered clouds
322,Kanniyakumari,IN,8.0833,77.5667,84.85,69,83,16.04,broken clouds
323,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,55,75,6.71,light rain
324,Riyadh,SA,24.6877,46.7219,84.34,12,0,2.39,clear sky
325,Paita,PE,-5.0892,-81.1144,63.97,80,36,9.98,scattered clouds
