City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
169,Dhanwar,6,IN,2022-06-11 15:38:07,28,24.4167,85.9833,96.66,14.5
170,Salalah,40,OM,2022-06-11 15:38:08,79,17.0151,54.0924,87.89,12.66
171,Weihe,100,CN,2022-06-11 15:38:08,96,32.9952,105.3247,59.92,1.83
172,Saldanha,100,ZA,2022-06-11 15:38:08,63,-33.0117,17.9442,75.25,10.0
173,Atuona,36,PF,2022-06-11 15:38:09,69,-9.8,-139.0333,77.2,15.35
174,Kysyl-Syr,59,RU,2022-06-11 15:38:09,89,63.8986,122.7617,48.4,3.15
175,Ipanguacu,42,BR,2022-06-11 15:38:10,40,-5.4983,-36.855,91.53,7.34
176,Chardara,100,KZ,2022-06-11 15:38:10,48,41.2547,67.9692,77.94,6.13
177,Hilo,40,US,2022-06-11 15:38:10,82,19.7297,-155.09,74.28,6.91
178,Vanimo,55,PG,2022-06-11 15:38:11,86,-2.6741,141.3028,77.99,4.07
179,Maragogi,15,BR,2022-06-11 15:38:11,76,-9.0122,-35.2225,80.47,4.79
180,Chauk,39,MM,2022-06-11 15:38:12,62,20.8833,94.8167,85.39,11.27
181,Manati,71,PR,2022-06-11 15:38:12,80,18.4275,-66.4921,88.95,17.0
182,Walvis Bay,0,NA,2022-06-11 15:38:12,23,-22.9575,14.5053,85.15,8.05
183,Shimoda,100,JP,2022-06-11 15:38:13,90,34.6667,138.95,63.1,23.76
184,Half Moon Bay,40,US,2022-06-11 15:38:13,79,37.4636,-122.4286,80.58,5.75
185,Raudeberg,99,NO,2022-06-11 15:39:14,69,61.9875,5.1352,59.67,23.87
186,Peremyshlyany,100,UA,2022-06-11 15:39:14,83,49.6652,24.5585,67.06,9.6
187,Van,40,TR,2022-06-11 15:39:14,29,38.4924,43.3831,74.55,4.61
188,Alta Floresta,40,BR,2022-06-11 15:39:15,61,-9.8756,-56.0861,82.22,9.22
189,Houma,40,US,2022-06-11 15:39:15,78,29.5958,-90.7195,88.0,5.75
190,Oranjemund,97,NA,2022-06-11 15:39:15,45,-28.55,16.4333,66.43,8.97
191,Avera,71,US,2022-06-11 15:39:16,39,33.194,-82.5271,88.38,3.98
192,Wamba,58,NG,2022-06-11 15:39:16,52,8.9333,8.6,87.51,5.46
193,Bathsheba,40,BB,2022-06-11 15:39:17,70,13.2167,-59.5167,84.81,23.02
194,Tabanan,79,ID,2022-06-11 15:39:17,92,-8.5413,115.1252,81.0,4.41
195,Cantaura,97,VE,2022-06-11 15:39:17,52,9.3057,-64.3584,87.94,12.44
196,Langsa,99,ID,2022-06-11 15:39:18,92,4.4683,97.9683,74.98,1.88
197,Santa Marinella,2,IT,2022-06-11 15:39:18,49,42.0345,11.8536,87.53,20.33
198,Coahuayana,100,MX,2022-06-11 15:39:19,59,18.7333,-103.6833,87.4,1.41
199,Dikson,100,RU,2022-06-11 15:39:19,89,73.5069,80.5464,35.71,3.15
200,Atar,22,MR,2022-06-11 15:39:19,9,20.5169,-13.0499,110.66,8.12
201,Northampton,100,US,2022-06-11 15:35:34,65,40.8754,-75.2499,71.44,5.39
202,Kahului,0,US,2022-06-11 15:38:05,79,20.8947,-156.47,75.85,11.5
203,Bambous Virieux,75,MU,2022-06-11 15:39:20,68,-20.3428,57.7575,73.65,13.8
204,Ganzhou,99,CN,2022-06-11 15:38:06,90,28.8184,115.4327,72.25,0.96
205,Gelemso,93,ET,2022-06-11 15:39:20,54,8.8167,40.5167,66.92,8.55
206,Oda,51,JP,2022-06-11 15:39:21,90,35.1833,132.5,64.33,7.92
207,Constitucion,11,CL,2022-06-11 15:39:21,42,-35.3333,-72.4167,59.02,2.62
208,Yeniseysk,64,RU,2022-06-11 15:39:21,65,58.4497,92.1703,60.08,6.53
209,Hasaki,100,JP,2022-06-11 15:39:22,92,35.7333,140.8333,66.6,14.05
210,Vikhorevka,49,RU,2022-06-11 15:39:22,50,56.1201,101.1636,60.39,1.03
211,Klobuck,4,PL,2022-06-11 15:39:23,54,50.9008,18.9367,74.05,6.73
212,Sola,93,VU,2022-06-11 15:39:23,77,-13.8833,167.55,80.01,6.78
213,Revelstoke,100,CA,2022-06-11 15:35:44,94,50.9832,-118.2023,53.62,2.3
214,Gazli,2,UZ,2022-06-11 15:39:23,28,40.1333,63.45,82.96,8.41
215,Honiara,6,SB,2022-06-11 15:39:24,83,-9.4333,159.95,76.06,4.07
216,Ranong,100,TH,2022-06-11 15:39:24,85,9.9658,98.6348,79.95,5.55
217,Natori,100,JP,2022-06-11 15:39:25,98,38.1691,140.8823,62.47,3.18
218,Bobcaygeon,23,CA,2022-06-11 15:37:15,51,44.5462,-78.542,72.14,5.53
219,Hobyo,70,SO,2022-06-11 15:39:25,80,5.3505,48.5268,79.54,27.2
220,Lakes Entrance,100,AU,2022-06-11 15:39:25,74,-37.8811,147.981,53.17,24.02
221,Plymouth,0,US,2022-06-11 15:39:26,47,41.8334,-70.8328,78.84,5.75
222,Kavieng,7,PG,2022-06-11 15:39:26,71,-2.5744,150.7967,81.82,12.91
223,Abbeville,23,FR,2022-06-11 15:39:26,58,50.1,1.8333,70.5,11.61
224,Kanye,0,BW,2022-06-11 15:39:27,42,-24.9667,25.3327,53.28,6.51
225,Sinnamary,73,GF,2022-06-11 15:39:27,71,5.3833,-52.95,82.62,10.27
